,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Geography,,,,,,Total Population,,,,,Hispanic/Latino (of any race),,,,,White non-Hispanic,,,,,Black non-Hispanic,,,,,Asian non-Hispanic,,,,
Orig Order,GeoType,Borough,GeoID,Name,NTA Type,Pop_10,Pop_20,Pop Change,Natural Change,Net Migration,Hsp_10,Hsp_20,Pop Change,Natural Change,Net Migration,WNH_10,WNH_20,Pop Change,Natural Change,Net Migration,BNH_10,BNH_20,Pop Change,Natural Change,Net Migration,ANH_10,ANH_20,Pop Change,Natural Change,Net Migration
1,NYC,New York City,0,NYC (adjusted for citywide total population in 2010),,"8,242,624","8,804,190","561,566","612,638","-51,072","2,336,076","2,490,350","154,274","242,213","-87,939","2,722,904","2,719,856","-3,048","126,719","-129,767","1,861,295","1,776,891","-84,404","87,308","-171,712","1,028,119","1,373,502","345,383","148,946","196,437"
2,Boro,Manhattan,1,Manhattan,,"1,585,873","1,694,251","108,378","81,949","26,429","403,577","402,640",-937,"24,328","-25,265","761,493","793,294","31,801","38,086","-6,285","205,340","199,592","-5,748","-1,153","-4,595","177,624","219,624","42,000","19,511","22,489"
3,Boro,Bronx,2,Bronx,,"1,385,108","1,472,654","87,546","114,402","-26,856","741,413","806,463","65,050","84,961","-19,911","151,209","130,796","-20,413","-8,271","-12,142","416,695","419,393","2,698","29,364","-26,666","47,335","67,766","20,431","8,012","12,419"
4,Boro,Brooklyn,3,Brooklyn,,"2,504,700","2,736,074","231,374","246,479","-15,105","496,285","516,426","20,141","50,358","-30,217","893,306","968,427","75,121","103,482","-28,361","799,066","729,696","-69,370","39,815","-109,185","260,129","370,776","110,647","49,274","61,373"
5,Boro,Queens,4,Queens,,"2,230,722","2,405,464","174,742","152,976","21,766","613,750","667,861","54,111","72,532","-18,421","616,727","549,358","-67,369","-5,932","-61,437","395,881","381,375","-14,506","15,628","-30,134","508,334","656,583","148,249","68,698","79,551"
6,Boro,Staten Island,5,Staten Island,,"468,730","495,747","27,017","17,822","9,195","81,051","96,960","15,909","10,168","5,741","300,169","277,981","-22,188",-62,"-22,126","44,313","46,835","2,522","3,824","-1,302","34,697","58,753","24,056","3,490","20,566"
7,NTA2020,Brooklyn,BK0101,Greenpoint,0,"34,719","38,980","4,261","2,058","2,203","5,099","6,007",908,317,591,"26,691","27,496",805,"1,349",-544,433,"1,025",592,18,574,"1,689","2,477",788,285,503
8,NTA2020,Brooklyn,BK0102,Williamsburg,0,"45,774","64,444","18,670","7,504","11,166","17,268","17,012",-256,943,"-1,199","23,968","36,709","12,741","5,605","7,136","1,393","2,340",947,100,847,"2,227","4,974","2,747",671,"2,076"
9,NTA2020,Brooklyn,BK0103,South Williamsburg,0,"42,241","47,703","5,462","16,788","-11,326","4,277","4,135",-142,96,-238,"36,670","39,714","3,044","16,463","-13,419",913,"1,217",304,57,247,77,363,286,12,274
10,NTA2020,Brooklyn,BK0104,East Williamsburg,0,"50,349","52,998","2,649","1,893",756,"20,364","18,322","-2,042",723,"-2,765","17,982","20,363","2,381",873,"1,508","6,243","6,110",-133,-39,-94,"4,718","5,817","1,099",270,829
